Neighborhood,price_usd,province,Number_of_rooms,Square_meters
Galicia,1100.0,La Coruña,4.0,243.0
Galicia,1100.0,La Coruña,4.0,243.0
Galicia,1000.0,La Coruña,4.0,100.0
Galicia,450.0,La Coruña,2.0,76.0
Galicia,800.0,La Coruña,4.0,100.0
Galicia,650.0,La Coruña,3.0,122.0
Galicia,400.0,La Coruña,4.0,107.0
Galicia,800.0,La Coruña,2.0,75.0
Galicia,450.0,La Coruña,3.0,99.0
Galicia,600.0,La Coruña,3.0,87.0
Galicia,825.0,La Coruña,3.0,80.0
Galicia,700.0,La Coruña,2.0,80.0
Galicia,245.0,La Coruña,1.0,46.0
Galicia,550.0,La Coruña,4.0,90.0
Galicia,750.0,La Coruña,3.0,95.0
Galicia,650.0,La Coruña,2.0,90.0
Galicia,360.0,La Coruña,2.0,65.0
Galicia,850.0,La Coruña,3.0,110.0
Galicia,700.0,La Coruña,4.0,104.0
Galicia,1500.0,La Coruña,3.0,87.0
Galicia,800.0,La Coruña,2.0,62.0
Galicia,1200.0,La Coruña,4.0,90.0
Galicia,800.0,La Coruña,4.0,110.0
Galicia,500.0,La Coruña,1.0,50.0
Galicia,700.0,La Coruña,3.0,80.0
Galicia,650.0,La Coruña,4.0,135.0
Galicia,760.0,La Coruña,4.0,121.0
Galicia,850.0,La Coruña,3.0,111.0
Galicia,890.0,La Coruña,3.0,104.0
Galicia,425.0,La Coruña,3.0,90.0
Galicia,280.0,La Coruña,1.0,45.0
Galicia,850.0,La Coruña,3.0,95.0
Galicia,1100.0,La Coruña,3.0,100.0
Galicia,750.0,La Coruña,2.0,65.0
Galicia,500.0,La Coruña,1.0,52.0
Galicia,1250.0,La Coruña,2.0,115.0
Galicia,650.0,La Coruña,2.0,70.0
Galicia,720.0,La Coruña,3.0,150.0
Galicia,440.0,La Coruña,1.0,50.0
Galicia,725.0,La Coruña,2.0,72.0
Galicia,1200.0,La Coruña,5.0,100.0
Galicia,1000.0,La Coruña,3.0,80.0
Galicia,1000.0,La Coruña,2.0,65.0
Galicia,700.0,La Coruña,2.0,60.0
Galicia,750.0,La Coruña,3.0,90.0
Galicia,750.0,La Coruña,3.0,90.0
Galicia,730.0,La Coruña,3.0,110.0
Galicia,750.0,La Coruña,2.0,99.0
Galicia,350.0,La Coruña,2.0,70.0
Galicia,600.0,La Coruña,2.0,84.0
Galicia,1700.0,La Coruña,3.0,126.0
Galicia,600.0,La Coruña,1.0,40.0
Galicia,900.0,La Coruña,3.0,135.0
Galicia,570.0,La Coruña,2.0,70.0
Galicia,1500.0,La Coruña,3.0,130.0
Galicia,475.0,La Coruña,3.0,95.0
Galicia,590.0,La Coruña,1.0,51.0
Galicia,650.0,La Coruña,2.0,51.0
Galicia,560.0,La Coruña,4.0,107.0
Galicia,425.0,La Coruña,3.0,62.0
Galicia,760.0,La Coruña,2.0,93.0
Galicia,750.0,La Coruña,2.0,61.0
Galicia,2800.0,La Coruña,3.0,240.0
Galicia,700.0,La Coruña,2.0,88.0
Galicia,900.0,La Coruña,3.0,110.0
Galicia,550.0,La Coruña,3.0,100.0
Galicia,700.0,La Coruña,1.0,84.0
Galicia,675.0,La Coruña,1.0,58.0
Galicia,700.0,La Coruña,4.0,144.0
Galicia,775.0,La Coruña,3.0,84.0
Galicia,900.0,La Coruña,4.0,278.0
Galicia,875.0,La Coruña,2.0,65.0
Galicia,800.0,La Coruña,3.0,66.0
Galicia,800.0,La Coruña,2.0,85.0
Galicia,600.0,La Coruña,2.0,75.0
Galicia,500.0,La Coruña,2.0,50.0
Galicia,800.0,La Coruña,2.0,41.0
Galicia,700.0,La Coruña,3.0,81.0
Galicia,600.0,La Coruña,2.0,77.0
Galicia,1600.0,La Coruña,3.0,192.0
Galicia,700.0,La Coruña,2.0,80.0
Galicia,850.0,La Coruña,2.0,80.0
Galicia,2500.0,La Coruña,5.0,380.0
Galicia,890.0,La Coruña,3.0,85.0
